Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Uzbekistan,UZB,18515,19245.1,18790.7,20315.8,22482.3,21458,22154,22700.2,24026.1,24096,24691,25618.9,27347.9,26524.4,26880.1,26096.6,27337.3,26371.1,28023.7,25640.5,26033.8,25370.9,24052.6,22873.6,20718,20146.4,20794.8,21022.7,24635.2,24615.6
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Vanuatu,VUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,"Venezuela, RB",VEN,104452.8,114267.8,114778.8,120124.9,123730.7,136375.5,151157.3,161957.4,165040.2,151611.4,157796.6,157033.8,147677.6,138653.6,150740,154986.4,153521.4,151635.1,153296.7,142379.9,142785.7,144043,153713.3,155751.2,153961.5,147972.7,138790.1,120190.3,101241.3,81961.6
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Vietnam,VNM,4624.2,5319.2,5607.3,6010.1,5747.4,6515.2,6906.9,7317.4,7968.5,8408.3,8782.9,9314.4,9898.3,10473.6,13048,14427,15114,15695.4,15324.1,16589.5,16828.9,17245.4,17062.1,17078.3,17093.2,15505.6,13285.5,12868.7,13202.4,13776.5
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,"Yemen, Rep.",YEM,5490.2,5593.8,5366.7,7183.8,11251.3,11106.7,11243.9,11795.8,11900.1,12833.1,14571.9,14458.2,14418.5,14716.7,13989.3,14762.4,14927.1,13800.2,12345.7,12876.5,16340.4,15411,12739.1,15136.3,13550.5,4828.1,1959.1,2680.5,3320.7,3330.8
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Zambia,ZMB,801.101,820.704,839.807,857.41,877.313,903.517,917.127,939.736,963.046,996.155,1029.465,1053.886,1073.608,1093.729,1113.751,1135.372,1155.355,1174.138,1196.522,1220.705,1246.088,1275.756,1308.624,1340.492,1373.46,1406.328,1435.081,1463.934,1492.187,1520.14
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Zimbabwe,ZWE,1935.449,1954.611,1971.874,1984.337,1994.9,2079.533,2185.867,2251.5,2342.733,2446.667,2541.3,2497.33,2483.759,2488.389,2449.418,2462.048,2507.129,2515.91,2488.791,2512.972,2448.053,2496.141,2588.729,2670.217,2765.805,2861.393,2914.669,2966.246,3021.722,3067.999
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Africa Eastern and Southern,AFE,52776.74,54024.033,54635.568,59006.86,62904.452,67036.015,71389.096,76375.176,79916.157,82536.938,84807.018,87053.976,89685.034,95042.79,99900.647,104267.504,107591.161,111448.018,116112.277,116809.944,119123.402,119465.727,98814.214,101154.92,104033.826,105615.632,104964.396,107411.96,105543.423,106107.787
