Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,India,IND,509157.8,514712.9,516180.9,520170.5,523830,533152.8,542677,550790.1,559465.3,566984.8,571714.5,574161.4,566903.3,574060.8,580468,593388.8,601727.5,613551.8,620822.2,617535.3,623368.2,629585.1,628102.1,632016.7,634938.4,638817.3,643008.1,647382.6,654321.2,656654.7
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Indonesia,IDN,267900.3,273260.6,282757,285568,290245.2,297785.1,303998.1,306944.6,311789.4,316133.3,319791.7,311880.9,307280.5,300195.2,296484.1,290499.5,288017.4,281542.2,276289.3,273762.1,270496.9,268547.5,264495.6,264883.1,270911.6,271361.6,273526.7,278409.4,279692.1,280954
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Iran, Islamic Rep.",IRN,107923.9,114811.1,120032.6,126301.4,127914,131344.3,135535.2,139014.2,140113.9,143856.4,152389.4,152634.3,150722.9,165974.7,173191,177945.9,184815.2,191405.7,190849.8,193984.2,198201.7,200948.8,192289.4,188199.7,195191.7,200594.7,227821.9,239499.8,239791.8,213683.1
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Iraq,IRQ,51780.94,14391.43,17856.73,21962.83,25548.32,26095.67,25831.11,39050.71,57067.46,66021.08,68178.48,64809.44,57245.13,44260.77,58258.98,55802.16,58507.74,61308.21,67880.65,72038.81,73574.94,81747.46,91301.16,94424.73,99789.55,113169.4,126144.5,127948.2,130224,134690.3
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Ireland,IRL,15465.66,15729.88,15775.9,15912.21,15941.95,16001.65,15983.15,15989.58,16430.09,16484.34,16971.12,17058.13,16965.14,17536.84,16597.91,16121.21,16090.37,15432.99,15197.44,14913.48,14415.93,14425.45,14873.47,15269.12,15618.92,15897.86,16528.97,16802.98,15429.35,15462.39
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Israel,ISR,8336.326,8600.031,8888.092,9173.412,9473.79,9757.261,10070.59,10138.65,10216.86,10301.43,10380.21,9004.402,7609.786,6253.875,6794.6,7359.11,7695.643,7796.803,7863.003,7909.588,7880.945,8069.489,8058.465,8505.657,8742.598,8988.327,9223.551,9427.08,9602.436,9742.194
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Italy,ITA,48735.39,47783.1,47865.12,47612.19,48077.64,48330.27,49191.11,49679.09,49424.65,49651.22,50870.32,49368.45,50181.38,50205.37,49496.82,49762.61,49212.41,49273.98,49345.19,48735.64,48991.83,46580.92,47266.99,45127.45,44073.25,44846.09,44723.67,44849.51,44582.58,44352.9
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Jamaica,JAM,1034.265,1080.076,1146.076,1151.809,1128.06,1149.193,1113.509,1091.2,1094.013,1101.954,1106.513,1108.528,1112.023,1158.229,1097.984,1072.104,858.759,823.704,816.791,805.256,813.163,824.762,831.487,831.879,830.561,820.355,803.781,792.857,788.911,785.192
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Japan,JPN,37467.35,37479.66,37922.57,37958.77,38291.03,37427.38,36497.54,35894,34666.21,34403.08,33956.97,33008.73,32850.03,32647.5,32469.15,32094.28,31964.68,31893,31205.44,30548.17,30523.78,30587.16,30495.07,30218.11,29658.09,28851.06,28546.86,28385.11,27919.62,27382.26
